Number,Name,Jacobian Equation,Angle Bus 1,Angle Bus 2,Angle Bus 3,Angle Bus 4,Angle Bus 5,Volt Mag Bus 1,Volt Mag Bus 2,Volt Mag Bus 3,Volt Mag Bus 4,Volt Mag Bus 5
2,Two,Reactive Power,,-8.95,,3.22,5.73,,27.46,,-9.46,-19.08
2,Two,Real Power,,29.34,,-9.91,-19.42,,-3.62,,-3.07,-5.63
3,Three,Voltage Magnitude,,,,,,,,1,,
3,Three,Real Power,,,111.81,-111.81,,,,11.51,-4.79,
4,Four,Real Power,,-10.33,-111.31,164.06,-42.42,,1.4,-11.15,12.6,-2.62
4,Four,Reactive Power,,-1.4,11.71,-12.98,2.67,,-10.34,-106.01,153.57,-41.67
5,Five,Reactive Power,,-2.17,,4.95,-9.39,,-20.16,,-40.28,110.4
5,Five,Real Power,,-20.13,,-42.22,112.68,,2.18,,-4.72,9.28
