Number,Name,Jacobian Equation,Angle Bus 1,Angle Bus 2,Angle Bus 3,Angle Bus 4,Angle Bus 5,Volt Mag Bus 1,Volt Mag Bus 2,Volt Mag Bus 3,Volt Mag Bus 4,Volt Mag Bus 5
2,Two,Reactive Power,,-9.96,,3.58,6.37,,21.06,,-7.79,-15.76
2,Two,Real Power,,23.61,,-8.08,-15.53,,-7.07,,-3.45,-6.47
3,Three,Voltage Magnitude,,,,,,,,1,,
3,Three,Real Power,,,110.79,-110.79,,,,12.34,-4,
4,Four,Real Power,,-8.59,-110.17,159.43,-40.68,,2.44,-11.83,12.38,-2.55
4,Four,Reactive Power,,-2.08,12.42,-12.85,2.51,,-10.05,-104.92,153.59,-41.28
5,Five,Reactive Power,,-3.5,,4.79,-8.82,,-19.2,,-38.99,107
5,Five,Real Power,,-16.42,,-40.47,105.44,,4.09,,-4.61,8.95
