Number,Name,Jacobian Equation,Angle Bus 1,Angle Bus 2,Angle Bus 3,Angle Bus 4,Angle Bus 5,Volt Mag Bus 1,Volt Mag Bus 2,Volt Mag Bus 3,Volt Mag Bus 4,Volt Mag Bus 5
2,Two,Reactive Power,,-10.21,,3.68,6.53,,22.63,,-8.11,-16.41
2,Two,Real Power,,24.76,,-8.46,-16.31,,-6.74,,-3.53,-6.57
3,Three,Voltage Magnitude,,,,,,,,1,,
3,Three,Real Power,,,111.33,-111.33,,,,12.39,-3.93,
4,Four,Real Power,,-8.98,-110.69,160.87,-41.2,,2.37,-11.96,12.46,-2.51
4,Four,Reactive Power,,-2.11,12.55,-12.94,2.5,,-10.11,-105.41,154.41,-41.48
5,Five,Reactive Power,,-3.51,,4.9,-8.96,,-19.39,,-39.3,107.87
5,Five,Real Power,,-17.21,,-40.99,107.15,,3.96,,-4.7,9.03
